auto,fecha,monto_recibido
552,2019-03-12,270.0
551,2019-03-12,200.0
550,2019-03-12,550.0
553,2019-03-12,513.0
559,2019-03-13,481.5
560,2019-03-13,450.0
561,2019-03-13,620.0
562,2019-03-13,745.0
563,2019-03-13,350.0
564,2019-03-13,350.0
565,2019-03-13,55.0
566,2019-03-13,50.0
576,2019-03-14,162.0
575,2019-03-14,306.0
570,2019-03-14,620.0
574,2019-03-14,890.0
577,2019-03-14,60.0
573,2019-03-14,8.0
568,2019-03-14,240.0
571,2019-03-14,450.0
572,2019-03-14,228.0
569,2019-03-14,82.0
567,2019-03-14,438.0
587,2019-03-15,250.0
586,2019-03-15,170.0
585,2019-03-15,270.0
584,2019-03-15,120.0
583,2019-03-15,550.0
581,2019-03-15,1110.0
580,2019-03-15,1000.0
579,2019-03-15,285.0
578,2019-03-15,640.0
582,2019-03-15,205.0
594,2019-03-16,25.0
597,2019-03-16,150.0
596,2019-03-16,220.0
595,2019-03-16,450.0
593,2019-03-16,110.0
588,2019-03-16,350.0
591,2019-03-16,60.0
590,2019-03-16,500.0
589,2019-03-16,310.0
592,2019-03-16,450.0
604,2019-03-18,12.0
606,2019-03-18,155.0
605,2019-03-18,1380.0
607,2019-03-18,150.0
603,2019-03-18,250.0
600,2019-03-18,375.0
601,2019-03-18,500.0
599,2019-03-18,401.0
598,2019-03-18,450.0
602,2019-03-18,1000.0
614,2019-03-19,205.0
613,2019-03-19,140.0
612,2019-03-19,280.0
615,2019-03-19,75.0
610,2019-03-19,200.0
609,2019-03-19,714.0
608,2019-03-19,550.0
611,2019-03-19,50.0
616,2019-03-20,457.0
617,2019-03-20,276.0
618,2019-03-20,138.0
620,2019-03-20,1000.0
621,2019-03-20,310.0
622,2019-03-20,500.0
623,2019-03-20,550.0
624,2019-03-20,150.0
625,2019-03-20,400.0
634,2019-03-21,170.0
635,2019-03-21,130.0
638,2019-03-21,165.0
633,2019-03-21,820.0
637,2019-03-21,414.0
632,2019-03-21,80.0
636,2019-03-21,420.0
630,2019-03-21,760.0
629,2019-03-21,942.5
628,2019-03-21,1125.0
631,2019-03-21,115.0
627,2019-03-21,152.0
626,2019-03-21,550.0
647,2019-03-22,350.0
646,2019-03-22,250.0
645,2019-03-22,710.0
644,2019-03-22,65.0
648,2019-03-22,31.0
642,2019-03-22,95.5
641,2019-03-22,130.0
640,2019-03-22,407.0
639,2019-03-22,550.0
643,2019-03-22,56.0
657,2019-03-23,37.0
656,2019-03-23,222.0
655,2019-03-23,250.0
654,2019-03-23,200.0
653,2019-03-23,125.0
651,2019-03-23,1200.0
650,2019-03-23,450.0
649,2019-03-23,100.0
652,2019-03-23,480.0
667,2019-03-25,250.0
671,2019-03-25,100.0
670,2019-03-25,480.0
669,2019-03-25,250.0
668,2019-03-25,200.0
665,2019-03-25,700.0
666,2019-03-25,1130.0
663,2019-03-25,30.0
664,2019-03-25,300.0
662,2019-03-25,9.0
661,2019-03-25,255.0
660,2019-03-25,142.0
659,2019-03-25,32.0
658,2019-03-25,373.0
681,2019-03-26,250.0
680,2019-03-26,305.0
679,2019-03-26,200.0
678,2019-03-26,1150.0
677,2019-03-26,350.0
682,2019-03-26,5.0
675,2019-03-26,600.0
674,2019-03-26,40.0
673,2019-03-26,100.0
672,2019-03-26,120.0
676,2019-03-26,250.0
694,2019-03-27,70.0
693,2019-03-27,100.0
692,2019-03-27,500.0
691,2019-03-27,170.0
690,2019-03-27,910.0
689,2019-03-27,310.0
687,2019-03-27,730.0
686,2019-03-27,80.0
685,2019-03-27,193.0
684,2019-03-27,24.5
683,2019-03-27,155.0
688,2019-03-27,720.0
703,2019-03-28,130.0
706,2019-03-28,300.0
707,2019-03-28,3.0
705,2019-03-28,70.0
704,2019-03-28,310.0
702,2019-03-28,1220.0
696,2019-03-28,1072.5
700,2019-03-28,925.0
695,2019-03-28,550.0
697,2019-03-28,130.0
701,2019-03-28,105.0
699,2019-03-28,280.0
698,2019-03-28,465.0
716,2019-03-29,100.0
714,2019-03-29,450.0
713,2019-03-29,350.0
712,2019-03-29,480.0
717,2019-03-29,40.0
710,2019-03-29,396.0
711,2019-03-29,850.0
708,2019-03-29,426.0
715,2019-03-29,330.0
709,2019-03-29,365.0
718,2019-03-30,400.0
719,2019-03-30,700.0
720,2019-03-30,250.0
722,2019-03-30,270.0
723,2019-03-30,280.0
724,2019-03-30,350.0
725,2019-03-30,160.0
726,2019-03-30,100.0
727,2019-03-30,60.0
721,2019-03-30,190.0
733,2019-04-01,260.0
732,2019-04-01,600.0
731,2019-04-01,1100.0
729,2019-04-01,320.0
728,2019-04-01,610.0
730,2019-04-01,313.0
747,2019-04-02,40.0
746,2019-04-02,175.0
744,2019-04-02,700.0
743,2019-04-02,370.0
742,2019-04-02,810.0
741,2019-04-02,54.0
745,2019-04-02,200.0
739,2019-04-02,133.0
738,2019-04-02,79.5
737,2019-04-02,26.0
736,2019-04-02,705.0
735,2019-04-02,250.0
734,2019-04-02,2.5
740,2019-04-02,311.5
758,2019-04-03,20.0
757,2019-04-03,180.0
756,2019-04-03,240.0
755,2019-04-03,280.0
754,2019-04-03,480.0
750,2019-04-03,702.0
752,2019-04-03,210.0
751,2019-04-03,180.0
749,2019-04-03,800.0
748,2019-04-03,480.0
753,2019-04-03,1500.0
767,2019-04-04,20.0
768,2019-04-04,120.0
764,2019-04-04,300.0
770,2019-04-04,105.0
771,2019-04-04,70.0
769,2019-04-04,270.0
766,2019-04-04,640.0
762,2019-04-04,410.0
763,2019-04-04,295.0
759,2019-04-04,180.0
760,2019-04-04,140.0
765,2019-04-04,41.0
761,2019-04-04,500.0
781,2019-04-05,170.0
772,2019-04-05,500.0
773,2019-04-05,250.0
774,2019-04-05,65.0
775,2019-04-05,1300.0
776,2019-04-05,550.0
777,2019-04-05,360.0
778,2019-04-05,500.0
779,2019-04-05,20.0
780,2019-04-05,160.0
786,2019-04-06,800.0
785,2019-04-06,250.0
787,2019-04-06,530.0
783,2019-04-06,520.0
782,2019-04-06,280.0
784,2019-04-06,500.0
794,2019-04-08,1500.0
797,2019-04-08,200.0
795,2019-04-08,600.0
793,2019-04-08,200.0
796,2019-04-08,500.0
791,2019-04-08,362.0
790,2019-04-08,160.0
789,2019-04-08,120.0
788,2019-04-08,650.0
792,2019-04-08,910.0
810,2019-04-09,120.0
806,2019-04-09,600.0
809,2019-04-09,52.0
808,2019-04-09,180.0
807,2019-04-09,320.0
805,2019-04-09,2120.0
798,2019-04-09,380.0
803,2019-04-09,480.0
802,2019-04-09,120.0
801,2019-04-09,548.0
800,2019-04-09,620.0
799,2019-04-09,14.0
804,2019-04-09,125.0
819,2019-04-10,550.0
818,2019-04-10,170.0
817,2019-04-10,200.0
816,2019-04-10,90.0
813,2019-04-10,900.0
814,2019-04-10,1450.0
812,2019-04-10,1200.0
811,2019-04-10,20.0
820,2019-04-10,250.0
815,2019-04-10,230.0
830,2019-04-11,400.0
829,2019-04-11,60.0
832,2019-04-11,100.0
831,2019-04-11,15.0
828,2019-04-11,80.0
827,2019-04-11,320.0
825,2019-04-11,920.0
824,2019-04-11,500.0
823,2019-04-11,505.0
822,2019-04-11,510.0
821,2019-04-11,370.0
826,2019-04-11,370.0
838,2019-04-12,70.0
839,2019-04-12,350.0
837,2019-04-12,640.0
836,2019-04-12,1750.0
834,2019-04-12,300.0
833,2019-04-12,360.0
835,2019-04-12,450.0
840,2019-04-13,970.0
841,2019-04-13,470.0
842,2019-04-13,120.0
843,2019-04-13,560.0
844,2019-04-13,410.0
853,2019-04-15,950.0
854,2019-04-15,20.0
857,2019-04-15,200.0
852,2019-04-15,2000.0
855,2019-04-15,160.0
851,2019-04-15,110.0
856,2019-04-15,200.0
849,2019-04-15,550.0
848,2019-04-15,20.0
847,2019-04-15,650.0
846,2019-04-15,113.5
845,2019-04-15,110.0
850,2019-04-15,50.0
865,2019-04-16,60.0
864,2019-04-16,150.0
863,2019-04-16,340.0
862,2019-04-16,1450.0
860,2019-04-16,600.0
859,2019-04-16,634.0
858,2019-04-16,668.0
861,2019-04-16,600.0
873,2019-04-17,180.0
872,2019-04-17,220.0
871,2019-04-17,340.0
870,2019-04-17,1400.0
868,2019-04-17,500.0
867,2019-04-17,300.0
866,2019-04-17,500.0
869,2019-04-17,250.0
884,2019-04-18,130.0
874,2019-04-18,700.0
875,2019-04-18,520.0
876,2019-04-18,520.0
877,2019-04-18,200.0
878,2019-04-18,700.0
879,2019-04-18,320.0
880,2019-04-18,780.0
881,2019-04-18,370.0
882,2019-04-18,320.0
883,2019-04-18,330.0
885,2019-04-18,110.0
891,2019-04-22,750.0
892,2019-04-22,200.0
893,2019-04-22,100.0
890,2019-04-22,1420.0
888,2019-04-22,80.0
887,2019-04-22,250.0
886,2019-04-22,752.0
889,2019-04-22,570.0
901,2019-04-23,400.0
900,2019-04-23,250.0
899,2019-04-23,500.0
898,2019-04-23,1200.0
902,2019-04-23,350.0
896,2019-04-23,90.0
895,2019-04-23,600.0
894,2019-04-23,120.0
897,2019-04-23,3300.0
912,2019-04-24,250.0
911,2019-04-24,160.0
910,2019-04-24,450.0
909,2019-04-24,22.0
908,2019-04-24,630.0
907,2019-04-24,61.0
905,2019-04-24,700.0
904,2019-04-24,380.0
903,2019-04-24,600.0
906,2019-04-24,200.0
919,2019-04-25,200.0
920,2019-04-25,40.0
918,2019-04-25,270.0
917,2019-04-25,500.0
915,2019-04-25,550.0
914,2019-04-25,202.0
913,2019-04-25,470.0
916,2019-04-25,950.0
930,2019-04-26,180.0
931,2019-04-26,10.0
929,2019-04-26,10.0
927,2019-04-26,1050.0
926,2019-04-26,430.0
928,2019-04-26,100.0
924,2019-04-26,570.0
923,2019-04-26,500.0
922,2019-04-26,65.0
921,2019-04-26,350.0
925,2019-04-26,715.0
939,2019-04-27,280.0
932,2019-04-27,600.0
933,2019-04-27,860.0
934,2019-04-27,500.0
935,2019-04-27,150.0
936,2019-04-27,50.0
937,2019-04-27,960.0
938,2019-04-27,250.0
948,2019-04-29,200.0
947,2019-04-29,2000.0
950,2019-04-29,250.0
949,2019-04-29,510.0
946,2019-04-29,115.0
951,2019-04-29,135.0
944,2019-04-29,129.1
943,2019-04-29,484.54999999999995
942,2019-04-29,840.0
941,2019-04-29,310.0
940,2019-04-29,1300.0
945,2019-04-29,200.0
962,2019-04-30,83.0
961,2019-04-30,180.0
960,2019-04-30,520.0
959,2019-04-30,153.0
958,2019-04-30,210.0
957,2019-04-30,2560.0
956,2019-04-30,50.0
955,2019-04-30,261.0
954,2019-04-30,515.5
953,2019-04-30,770.0
952,2019-04-30,450.0
975,2019-05-02,300.0
974,2019-05-02,122.0
973,2019-05-02,1500.0
972,2019-05-02,300.0
971,2019-05-02,70.0
970,2019-05-02,10.0
963,2019-05-02,350.0
968,2019-05-02,61.0
967,2019-05-02,230.0
966,2019-05-02,620.0
965,2019-05-02,700.0
964,2019-05-02,370.0
969,2019-05-02,763.0
985,2019-05-03,250.0
984,2019-05-03,85.0
983,2019-05-03,73.0
982,2019-05-03,550.0
981,2019-05-03,1400.0
979,2019-05-03,980.0
978,2019-05-03,278.0
977,2019-05-03,310.0
976,2019-05-03,372.0
980,2019-05-03,100.0
993,2019-05-04,250.0
992,2019-05-04,300.0
991,2019-05-04,50.0
990,2019-05-04,260.0
988,2019-05-04,900.0
987,2019-05-04,600.0
986,2019-05-04,600.0
989,2019-05-04,400.0
1004,2019-05-06,70.0
1003,2019-05-06,550.0
1002,2019-05-06,600.0
1001,2019-05-06,80.0
1000,2019-05-06,21.0
997,2019-05-06,60.5
998,2019-05-06,100.0
996,2019-05-06,136.0
995,2019-05-06,220.0
994,2019-05-06,820.0
999,2019-05-06,920.0
1012,2019-05-07,150.0
1005,2019-05-07,170.0
1006,2019-05-07,252.0
1007,2019-05-07,130.0
1008,2019-05-07,950.0
1009,2019-05-07,910.0
1010,2019-05-07,550.0
1011,2019-05-07,130.0
1022,2019-05-08,42.0
1021,2019-05-08,130.0
1024,2019-05-08,95.0
1023,2019-05-08,120.0
1019,2019-05-08,1535.0
1020,2019-05-08,135.0
1017,2019-05-08,620.0
1018,2019-05-08,160.0
1016,2019-05-08,125.0
1015,2019-05-08,40.0
1014,2019-05-08,3202.0
1013,2019-05-08,820.0
1035,2019-05-09,170.0
1034,2019-05-09,350.0
1032,2019-05-09,105.0
1031,2019-05-09,1225.0
